image,author,license,source_url
Anna_Kushkian_IFBB_2026.jpg,Karenkushkyan,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Anna_Kushkian_IFBB_2026.jpg
DBFV_Petersberg.jpg,Stefan Krug,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:DBFV_Petersberg.jpg
Female_bodybuilder_Aleesha_Young_flexing.jpg,Fbbcraze,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Female_bodybuilder_Aleesha_Young_flexing.jpg
Mr._Olympia_parade_float__1981_-_DPLA_-_ee20b68e9677ddbd3d01152914bda4d4.jpg,David Lucas,Public domain,"https://commons.wikimedia.org/wiki/File:Mr._Olympia_parade_float,_1981_-_DPLA_-_ee20b68e9677ddbd3d01152914bda4d4.jpg"
USMC-13808.jpg,unknown,Public domain,https://commons.wikimedia.org/wiki/File:USMC-13808.jpg
Angie_Semsch_at_the_2008_NGA_Heart_of_America_Natural_Classic__2596487367_.jpg,petechons,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Angie_Semsch_at_the_2008_NGA_Heart_of_America_Natural_Classic_(2596487367).jpg
Angie_Semsch_at_the_2008_NGA_Heart_of_America_Natural_Classic__2596487367___cropped_.jpg,petechons,CC BY-SA 2.0,https://commons.wikimedia.org/wiki/File:Angie_Semsch_at_the_2008_NGA_Heart_of_America_Natural_Classic_(2596487367)_(cropped).jpg
Basra_bodybuilding_competition_DVIDS288960.jpg,Staff Sgt. Adelita Mead,Public domain,https://commons.wikimedia.org/wiki/File:Basra_bodybuilding_competition_DVIDS288960.jpg
Bodybuilder_Eugene_Rapin_from_behind_flexing_biceps_Wellcome_L0038400.jpg,unknown,CC BY 4.0,https://commons.wikimedia.org/wiki/File:Bodybuilder_Eugene_Rapin_from_behind_flexing_biceps_Wellcome_L0038400.jpg
Ed_Fury_and_Jackie_Coey__1953.jpg,Los Angeles Daily News,CC BY 4.0,"https://commons.wikimedia.org/wiki/File:Ed_Fury_and_Jackie_Coey,_1953.jpg"
Eugen_Sandow__full-length_portrait__standing__left_profile__wearing_fig_leaf_and_flexing_muscle_with_fist_raised_to_fore,Benjamin Joseph Falk,Public domain,"https://commons.wikimedia.org/wiki/File:Eugen_Sandow,_full-length_portrait,_standing,_left_profile,_wearing_fig_leaf_and_flexing_muscle_with_fist_raised_to_forehead_LCCN90708835.jpg"
FBB_Pectoralis_muscle_flex.jpg,roonb,CC BY 2.0,https://commons.wikimedia.org/wiki/File:FBB_Pectoralis_muscle_flex.jpg
Female_bodybuilder_Aleesha_Young_biceps_flex.jpg,Fbbcraze,CC BY-SA 4.0,https://commons.wikimedia.org/wiki/File:Female_bodybuilder_Aleesha_Young_biceps_flex.jpg
